"","id","name_long","bev_total","bev_male","bev_female"
"1","08","Baden-Württemberg, Land",11069533,5501693,5567840
"2","081","Stuttgart, Regierungsbezirk",4143418,2067094,2076324
"3","08111000","Stuttgart, Landeshauptstadt, Stadtkreis",634830,317139,317691
"4","08115","Böblingen, Landkreis",391640,194989,196651
"5","08115001","Aidlingen",9024,4440,4584
"6","08115002","Altdorf",4662,2314,2348
"7","08115003","Böblingen, Stadt",50155,24746,25409
"8","08115004","Bondorf",6002,3028,2974
"9","08115010","Deckenpfronn",3329,1663,1666
"10","08115013","Ehningen",9193,4572,4621
"11","08115015","Gärtringen",12417,6155,6262
"12","08115016","Gäufelden",9350,4726,4624
"13","08115021","Herrenberg, Stadt",31545,15445,16100
"14","08115022","Hildrizhausen",3606,1816,1790
"15","08115024","Holzgerlingen, Stadt",13103,6454,6649
"16","08115028","Leonberg, Stadt",48733,24361,24372
"17","08115029","Magstadt",9659,4944,4715
"18","08115034","Mötzingen",3683,1821,1862
"19","08115037","Nufringen",5872,2999,2873
"20","08115041","Renningen, Stadt",18206,9100,9106
"21","08115042","Rutesheim, Stadt",10916,5426,5490
"22","08115044","Schönaich",10652,5317,5335
"23","08115045","Sindelfingen, Stadt",64858,32305,32553
"24","08115046","Steinenbronn",6554,3415,3139
"25","08115048","Waldenbuch, Stadt",8717,4289,4428
"26","08115050","Weil der Stadt, Stadt",19205,9640,9565
"27","08115051","Weil im Schönbuch",10018,4958,5060
"28","08115052","Weissach",7519,3731,3788
"29","08115053","Jettingen",7915,3905,4010
"30","08115054","Grafenau",6747,3419,3328
"31","08116","Esslingen, Landkreis",533859,266783,267076
"32","08116004","Altbach",5967,2999,2968
"33","08116005","Altdorf",1700,861,839
"34","08116006","Altenriet",1921,955,966
"35","08116007","Baltmannsweiler",5756,2835,2921
"36","08116008","Bempflingen",3485,1751,1734
"37","08116011","Beuren",3655,1828,1827
"38","08116012","Bissingen an der Teck",3441,1788,1653
"39","08116014","Deizisau",6944,3614,3330
"40","08116015","Denkendorf",11240,5765,5475
"41","08116016","Dettingen unter Teck",6142,3124,3018
"42","08116018","Erkenbrechtsweiler",2200,1117,1083
"43","08116019","Esslingen am Neckar, Stadt",93542,46746,46796
"44","08116020","Frickenhausen",9150,4594,4556
"45","08116022","Großbettlingen",4449,2220,2229
"46","08116027","Hochdorf",4749,2358,2391
"47","08116029","Holzmaden",2319,1169,1150
"48","08116033","Kirchheim unter Teck, Stadt",40523,19948,20575
"49","08116035","Köngen",9975,4979,4996
"50","08116036","Kohlberg",2324,1159,1165
"51","08116037","Lichtenwald",2694,1319,1375
"52","08116041","Neckartailfingen",3846,1951,1895
"53","08116042","Neckartenzlingen",6498,3264,3234
"54","08116043","Neidlingen",1836,914,922
"55","08116046","Neuffen, Stadt",6299,3200,3099
"56","08116047","Neuhausen auf den Fildern",11893,5932,5961
"57","08116048","Notzingen",3687,1890,1797
"58","08116049","Nürtingen, Stadt",41093,20618,20475
"59","08116050","Oberboihingen",5522,2775,2747
"60","08116053","Ohmden",1721,870,851
"61","08116054","Owen, Stadt",3392,1712,1680
"62","08116056","Plochingen, Stadt",14433,7187,7246
"63","08116058","Reichenbach an der Fils",8431,4228,4203
"64","08116063","Schlaitdorf",1931,949,982
"65","08116068","Unterensingen",4895,2488,2407
"66","08116070","Weilheim an der Teck, Stadt",10275,5185,5090
"67","08116071","Wendlingen am Neckar, Stadt",16268,8085,8183
"68","08116072","Wernau (Neckar), Stadt",12324,6117,6207
"69","08116073","Wolfschlugen",6339,3135,3204
"70","08116076","Aichwald",7559,3696,3863
"71","08116077","Filderstadt, Stadt",45813,22878,22935
"72","08116078","Leinfelden-Echterdingen, Stadt",40092,19903,20189
"73","08116079","Lenningen",8314,4213,4101
"74","08116080","Ostfildern, Stadt",39321,19468,19853
"75","08116081","Aichtal, Stadt",9901,4996,4905
"76","08117","Göppingen, Landkreis",257253,128093,129160
"77","08117001","Adelberg",1997,991,1006
"78","08117002","Aichelberg",1342,697,645
"79","08117003","Albershausen",4385,2179,2206
"80","08117006","Bad Ditzenbach",3741,1870,1871
"81","08117007","Bad Überkingen",3846,1912,1934
"82","08117009","Birenbach",1920,943,977
"83","08117010","Böhmenkirch",5527,2855,2672
"84","08117011","Börtlingen",1688,836,852
"85","08117012","Bad Boll",5197,2503,2694
"86","08117014","Deggingen",5331,2633,2698
"87","08117015","Donzdorf, Stadt",10682,5390,5292
"88","08117016","Drackenstein",439,216,223
"89","08117017","Dürnau",2169,1075,1094
"90","08117018","Ebersbach an der Fils, Stadt",15535,7750,7785
"91","08117019","Eislingen/Fils, Stadt",20885,10327,10558
"92","08117020","Eschenbach",2142,1050,1092
